"","","","","N","n (%) or median (IQR)"
"1","Child","","Female",1610,"792 (49%)"
"2","","Urinary F2-isoprostanes (Year 1)","iPF(2a)-III",688,"-0.42 (-0.73, -0.1)"
"3","","","2,3-dinor-iPF(2a)-III",688,"1.76 (1.55, 1.97)"
"4","","","iPF(2a-VI",688,"2.57 (2.31, 2.87)"
"5","","","8,12-iso-iPF(2a)-VI",688,"2.57 (2.16, 2.91)"
"6","","Salivary cortisol reactivity (Year 2)","Change in slope between pre- and post-stressor cortisol",691,"0 (0, 0.01)"
"7","","","Cortisol residualized gain score",691,"-0.09 (-0.21, 0.14)"
"8","","sAA reactivity (Year 2)","Change in slope between pre- and post-stressor sAA change",702,"1.39 (-0.06, 4.37)"
"9","","","sAA residualized gain score",703,"-26.37 (-51.35, 27.2)"
"10","","SAM biomarkers (Year 2)","Mean arterial pressure",1517,"64.44 (60.78, 68.67)"
"11","","","Resting heart rate",1520,"109 (99.33, 118.67)"
"12","","Glucocorticoid receptor","NR3C1 exon 1F promoter methylation",742,"-5.67 (-6.08, -5.31)"
"13","","","NGFI-A transcription factor binding site methylation",722,"-4.72 (-9.21, -4.4)"
"14","","Anthropometry (14 months, Year 1)","Length-for-age Z score",1421,"-1.41 (-2.07, -0.74)"
"15","","","Weight-for-age Z score",1423,"-1.3 (-2.01, -0.63)"
"16","","","Weight-for-length Z score",1423,"-0.89 (-1.55, -0.22)"
"17","","","Head circumference-for-age Z score",1415,"-1.78 (-2.35, -1.12)"
"18","","Anthropometry (28 months, Year 2)","Length-for-age Z score",1522,"-1.56 (-2.27, -0.94)"
"19","","","Weight-for-age Z score",1526,"-1.58 (-2.2, -0.94)"
"20","","","Weight-for-length Z score",1522,"-1.03 (-1.62, -0.38)"
"21","","","Head circumference-for-age Z score",1520,"-1.81 (-2.38, -1.2)"
"22","","Diarrhea (14 months, Year 1)","Caregiver-reported 7-day recall",1610,"202 (13%)"
"23","","Diarrhea (28 months, Year 2)","Caregiver-reported 7-day recall",1610,"114 (7%)"
"24","Mother","","Age (years)",1596,"23 (20, 27)"
"25","","Anthropometry at enrollment","Height (cm)",1592,"150.2 (146.84, 154.06)"
"26","","Education","Schooling completed (years)",1610,"7 (4, 9)"
"27","","Depression at Year 1","CES-D score",1576,"10 (6, 16)"
"28","","Depression at Year 2","CES-D score",1465,"10 (5, 17)"
"29","","Perceived stress at Year 2","Perceived Stress Scale score",1466,"14 (10, 17)"
"30","","Intimate partner violence","Any lifetime exposure",1461,"836 (57%)"
