"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," ","Fully adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","IPF(2a)-III","LAZ Year 1","688","-0.73","-0.09","-1.26","-1.39","-0.14 (-0.23, -0.05)","0.01","-1.18","-1.3","-0.12 (-0.2, -0.05)","0.01"
"4","","LAZ Year 2","603","-0.73","-0.09","-1.3","-1.39","-0.09 (-0.17, 0)","0.12","-1.49","-1.48","0.01 (-0.03, 0.05)","0.72"
"5","","Length velocity Year 1 and Year 2","603","-0.73","-0.09","0.8","0.8","0 (-0.01, 0.01)","0.99","0.8","0.8","0 (-0.01, 0.01)","0.95"
"6","","Change in LAZ Year 1 to Year 2","603","-0.73","-0.09","-0.05","-0.01","0.04 (-0.01, 0.08)","0.18","-0.27","-0.25","0.02 (-0.03, 0.07)","0.51"
"7","","","","","","","","","","","","",""
"8","2,3-dinor-iPF(2a)-III","LAZ Year 1","688","1.55","1.97","-1.24","-1.5","-0.26 (-0.37, -0.16)","0","-1.13","-1.34","-0.21 (-0.31, -0.11)","0"
"9","","LAZ Year 2","603","1.54","1.97","-1.29","-1.45","-0.17 (-0.27, -0.07)","0.01","-1.48","-1.45","0.04 (-0.01, 0.08)","0.26"
"10","","Length velocity Year 1 and Year 2","603","1.54","1.97","0.8","0.81","0.01 (0, 0.02)","0.16","0.8","0.81","0.01 (0, 0.02)","0.26"
"11","","Change in LAZ Year 1 to Year 2","603","1.54","1.97","-0.06","0.01","0.07 (-0.03, 0.17)","0.27","-0.28","-0.2","0.08 (0.02, 0.13)","0.03"
"12","","","","","","","","","","","","",""
"13","iPF(2a)-VI","LAZ Year 1","688","2.31","2.87","-1.11","-1.44","-0.32 (-0.55, -0.09)","0.03","-1.14","-1.36","-0.22 (-0.34, -0.1)","0.01"
"14","","LAZ Year 2","603","2.3","2.86","-1.31","-1.41","-0.1 (-0.19, 0)","0.11","-1.51","-1.46","0.05 (-0.02, 0.12)","0.26"
"15","","Length velocity Year 1 and Year 2","603","2.3","2.86","0.8","0.81","0 (-0.01, 0.02)","0.63","0.8","0.81","0.01 (-0.01, 0.03)","0.28"
"16","","Change in LAZ Year 1 to Year 2","603","2.3","2.86","-0.1","0.06","0.16 (0.06, 0.26)","0.01","-0.3","-0.18","0.12 (0.03, 0.2)","0.03"
"17","","","","","","","","","","","","",""
"18","8,12-iso-iPF(2a)-VI","LAZ Year 1","688","2.16","2.91","-1.39","-1.33","0.06 (-0.15, 0.28)","0.71","-1.15","-1.26","-0.11 (-0.24, 0.01)","0.19"
"19","","LAZ Year 2","603","2.17","2.9","-1.41","-1.33","0.09 (-0.11, 0.28)","0.55","-1.53","-1.44","0.09 (-0.01, 0.19)","0.2"
"20","","Length velocity Year 1 and Year 2","603","2.17","2.9","0.79","0.81","0.02 (-0.01, 0.05)","0.21","0.8","0.82","0.02 (-0.01, 0.04)","0.23"
"21","","Change in LAZ Year 1 to Year 2","603","2.17","2.9","-0.1","0.02","0.12 (0.01, 0.23)","0.08","-0.26","-0.18","0.08 (-0.02, 0.19)","0.24"
"22","","","","","","","","","","","","",""
"23","Combined urinary oxidative stress biommarkers","LAZ Year 1","688","2.48","3.53","-1.21","-1.46","-0.26 (-0.5, -0.02)","0.1","-1.05","-1.37","-0.31 (-0.52, -0.11)","0.02"
"24","","LAZ Year 2","603","2.48","3.52","-1.31","-1.41","-0.1 (-0.25, 0.05)","0.31","-1.46","-1.42","0.03 (-0.06, 0.12)","0.61"
"25","","Length velocity Year 1 and Year 2","603","2.48","3.52","0.8","0.8","0 (-0.02, 0.03)","0.99","0.8","0.81","0 (-0.02, 0.03)","0.76"
"26","","Change in LAZ Year 1 to Year 2","603","2.48","3.52","-0.07","0.02","0.09 (0, 0.19)","0.12","-0.24","-0.18","0.06 (-0.04, 0.15)","0.33"
