"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Fully adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Pre-stressor cortisol","LAZ Year 2","753","-2.51","-1.66","-1.41","-1.39","0.02 (-0.07, 0.11)","0.69","1","-1.6","-1.56","0.04 (-0.07, 0.16)","0.49","0.91"
"4","","","","","","","","","","","","","","",""
"5","Post-stressor cortisol","LAZ Year 2","697","-2.06","-0.6","-1.47","-1.32","0.15 (-0.08, 0.37)","0.2","0.49","-1.55","-1.53","0.02 (-0.06, 0.1)","0.66","0.91"
"6","","","","","","","","","","","","","","",""
"7","Pre to post-stress change in slope of cortisol","LAZ Year 2","691","-0.01","0","-1.41","-1.4","0.01 (-0.08, 0.09)","0.83","1","-1.61","-1.63","-0.02 (-0.07, 0.03)","0.41","0.91"
"8","","","","","","","","","","","","","","",""
"9","Cortisol residualized gain score","LAZ Year 2","691","-0.21","0.14","-1.41","-1.41","0 (-0.09, 0.08)","0.97","1","-1.63","-1.61","0.02 (-0.03, 0.07)","0.36","0.91"
"10","","","","","","","","","","","","","","",""
"11","Pre-stressor sAA","LAZ Year 2","748","3.48","4.63","-1.39","-1.36","0.02 (-0.08, 0.12)","0.69","1","-1.53","-1.51","0.02 (-0.11, 0.15)","0.79","0.91"
"12","","","","","","","","","","","","","","",""
"13","Post-stressor sAA","LAZ Year 2","714","3.88","5.13","-1.4","-1.31","0.08 (-0.01, 0.18)","0.08","0.49","-1.51","-1.49","0.02 (-0.04, 0.08)","0.48","0.91"
"14","","","","","","","","","","","","","","",""
"15","Pre to post-stress change in slope of sAA","LAZ Year 2","702","-4.37","0.06","-1.45","-1.5","-0.04 (-0.28, 0.19)","0.72","1","-1.57","-1.66","-0.09 (-0.22, 0.05)","0.21","0.91"
"16","","","","","","","","","","","","","","",""
"17","sAA residualized gain score","LAZ Year 2","703","-51.35","27.2","-1.48","-1.48","-0.01 (-0.25, 0.23)","0.96","1","-1.65","-1.57","0.07 (-0.06, 0.2)","0.27","0.91"
