"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"2","IPF(2a)-III","Length velocity (cm/month) Year 1 to Year 2","577","-0.73","-0.09","0.78","0.78","0 (-0.01, 0.01)","0.78"
"3","","Weight velocity (kg/month) Year 1 to Year 2","601","-0.73","-0.09","0.14","0.15","0 (0, 0.01)","0.03*"
"4","","Head circumference velocity (cm/month) Year 1 to Year 2","584","-0.73","-0.09","0.15","0.15","0 (0, 0.01)","0.16"
"5","","","","","","","","",""
"6","2,3-dinor-iPF(2a)-III","Length velocity (cm/month) Year 1 to Year 2","577","1.54","1.97","0.79","0.79","0.01 (0, 0.02)","0.12"
"7","","Weight velocity (kg/month) Year 1 to Year 2","601","1.54","1.97","0.14","0.15","0 (0, 0.01)","0.13"
"8","","Head circumference velocity (cm/month) Year 1 to Year 2","584","1.54","1.97","0.15","0.16","0.01 (0, 0.01)","0.04*"
"9","","","","","","","","",""
"10","iPF(2a)-VI","Length velocity (cm/month) Year 1 to Year 2","577","2.3","2.87","0.78","0.79","0.01 (-0.01, 0.02)","0.3"
"11","","Weight velocity (kg/month) Year 1 to Year 2","601","2.3","2.86","0.14","0.15","0 (0, 0.01)","0.11"
"12","","Head circumference velocity (cm/month) Year 1 to Year 2","584","2.3","2.87","0.15","0.16","0 (0, 0.01)","0.3"
"13","","","","","","","","",""
"14","8,12-iso-iPF(2a)-VI","Length velocity (cm/month) Year 1 to Year 2","577","2.19","2.91","0.78","0.79","0.02 (-0.01, 0.04)","0.2"
"15","","Weight velocity (kg/month) Year 1 to Year 2","601","2.16","2.9","0.14","0.15","0 (0, 0.01)","0.39"
"16","","Head circumference velocity (cm/month) Year 1 to Year 2","584","2.18","2.91","0.15","0.16","0.01 (0, 0.02)","0.2"
"17","","","","","","","","",""
"18","Combined urinary oxidative stress biomarkers","Length velocity (cm/month) Year 1 to Year 2","577","2.49","3.53","0.79","0.79","0 (-0.02, 0.03)","0.79"
"19","","Weight velocity (kg/month) Year 1 to Year 2","601","2.49","3.52","0.15","0.15","0 (-0.01, 0.01)","0.56"
"20","","Head circumference velocity (cm/month) Year 1 to Year 2","584","2.47","3.53","0.15","0.16","0.01 (0, 0.01)","0.11"
