"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"2","Entire promoter region (39 assayed CpG sites)","LAZ Year 2","660","-6.05","-5.31","-1.5","-1.54","-0.04 (-0.15, 0.08)","0.56"
"3","","WAZ Year 2","660","-6.05","-5.31","-1.8","-1.81","-0.01 (-0.13, 0.11)","0.89"
"4","","WLZ Year 2","670","-6.06","-5.32","-1.12","-1.1","0.03 (-0.08, 0.13)","0.64"
"5","","HCZ Year 2","692","-6.05","-5.31","-1.67","-1.67","0 (-0.05, 0.05)","0.97"
"6","","","","","","","","",""
"7","NGFI-A transcription factor binding site (CpG site #12)","LAZ Year 2","395","-4.65","-4.15","-1.35","-1.35","0 (-0.06, 0.07)","0.93"
"8","","WAZ Year 2","395","-4.65","-4.15","-1.93","-1.9","0.02 (-0.15, 0.2)","0.8"
"9","","WLZ Year 2","399","-4.65","-4.15","-1.29","-1.23","0.06 (-0.15, 0.26)","0.59"
"10","","HCZ Year 2","413","-4.65","-4.14","-1.68","-1.68","0 (-0.07, 0.07)","0.96"
