"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","IPF(2a)-III","LAZ Year 1","688","-0.73","-0.09","-1.26","-1.39","-0.14 (-0.23, -0.05)","0","0.01","-1.2","-1.32","-0.12 (-0.19, -0.04)","0","0.02"
"4","","WAZ Year 1","688","-0.73","-0.09","-1.08","-1.25","-0.17 (-0.26, -0.08)","0","0","-1.02","-1.17","-0.16 (-0.25, -0.06)","0","0.02"
"5","","WLZ Year 1","688","-0.73","-0.09","-0.69","-0.84","-0.15 (-0.23, -0.06)","0","0.01","-0.65","-0.79","-0.14 (-0.24, -0.03)","0.01","0.05"
"6","","HCZ Year 1","683","-0.73","-0.09","-1.74","-1.75","-0.01 (-0.09, 0.07)","0.85","0.91","-1.61","-1.62","-0.02 (-0.09, 0.05)","0.65","0.72"
"7","","LAZ Year 2","603","-0.73","-0.09","-1.3","-1.39","-0.09 (-0.17, 0)","0.06","0.12","-1.5","-1.49","0.01 (-0.03, 0.05)","0.66","0.72"
"8","","WAZ Year 2","605","-0.73","-0.08","-1.43","-1.52","-0.08 (-0.17, 0)","0.06","0.12","-1.63","-1.59","0.05 (0, 0.09)","0.03","0.12"
"9","","WLZ Year 2","603","-0.73","-0.09","-0.98","-1.01","-0.04 (-0.12, 0.04)","0.35","0.52","-1.2","-1.15","0.05 (-0.01, 0.1)","0.08","0.2"
"10","","HCZ Year 2","602","-0.73","-0.09","-1.83","-1.78","0.05 (-0.03, 0.14)","0.23","0.35","-1.98","-1.94","0.04 (0, 0.09)","0.07","0.19"
"11","","Length velocity (cm/month) Year 1 to Year 2","603","-0.73","-0.09","0.8","0.8","0 (-0.01, 0.01)","0.99","0.99","0.8","0.8","0 (-0.01, 0.01)","0.87","0.88"
"12","","Weight velocity (kg/month) Year 1 to Year 2","605","-0.73","-0.08","0.15","0.15","0 (0, 0.01)","0.01","0.05","0.14","0.15","0 (0, 0.01)","0.05","0.15"
"13","","Head circumference velocity (cm/month) Year 1 to Year 2","603","-0.73","-0.09","0.14","0.15","0 (0, 0.01)","0.12","0.2","0.15","0.15","0 (0, 0.01)","0.12","0.24"
"14","","Change in LAZ from Year 1 to Year 2","603","-0.73","-0.09","-0.05","-0.01","0.04 (-0.01, 0.08)","0.1","0.18","-0.27","-0.25","0.02 (-0.02, 0.07)","0.38","0.51"
"15","","Change in WAZ from Year 1 to Year 2","605","-0.73","-0.08","-0.32","-0.22","0.09 (0.05, 0.14)","0","0","-0.37","-0.29","0.08 (0.03, 0.12)","0","0.01"
"16","","Change in WLZ from Year 1 to Year 2","603","-0.73","-0.09","-0.34","-0.23","0.11 (0.05, 0.17)","0","0","-0.27","-0.16","0.11 (0.05, 0.17)","0","0.01"
"17","","Change in HCZ from Year 1 to Year 2","599","-0.73","-0.09","-0.07","-0.02","0.04 (-0.01, 0.09)","0.09","0.17","-0.13","-0.09","0.04 (-0.01, 0.09)","0.11","0.24"
"18","","","","","","","","","","","","","","",""
"19","2,3-dinor-iPF(2a)-III","LAZ Year 1","688","1.55","1.97","-1.24","-1.5","-0.26 (-0.37, -0.16)","0","0","-1.14","-1.34","-0.2 (-0.3, -0.09)","0","0.01"
